时间	开盘	最高	最低	收盘	涨幅	振幅	总手	金额	换手%	成交次数
"2010-07-07,三"	2558	2582	2546.2	2568.4	0.15%	1.40%	"318,135"	"244,524,800,000"	--	0
"2010-07-08,四"	2591	2599.4	2562	2569	0.02%	1.46%	"254,951"	"197,178,500,000"	--	0
"2010-07-09,五"	2573.2	2668	2563	2650	3.15%	4.09%	"327,713"	"257,431,420,000"	--	0
"2010-07-12,一"	2652	2693	2647.2	2660.6	0.40%	1.73%	"289,268"	"231,451,430,000"	--	0
"2010-07-13,二"	2651	2653	2618.6	2626	-1.30%	1.29%	"269,627"	"212,904,560,000"	--	0
"2010-07-14,三"	2640	2679.2	2630	2647	0.80%	1.87%	"209,930"	"167,221,260,000"	--	0
"2010-07-15,四"	2643	2695	2601.2	2604	-1.62%	3.54%	"79,047"	"62,891,630,000"	--	0
"2010-07-16,五"	2607.4	2612.8	2575.8	2596	-0.31%	1.42%	"15,142"	"11,782,977,200"	--	0
"2010-07-19,一"	2600.2	2715.2	2593.6	2697.6	3.91%	4.68%	"379,966"	"301,743,380,000"	--	0
"2010-07-20,二"	2702	2761	2700.4	2746	1.79%	2.25%	"390,979"	"320,947,650,000"	--	0
"2010-07-21,三"	2749	2758.4	2733.8	2744.4	-0.06%	0.90%	"308,125"	"253,796,060,000"	--	0
"2010-07-22,四"	2740	2785.6	2736.2	2784.4	1.46%	1.80%	"385,991"	"319,941,700,000"	--	0
"2010-07-23,五"	2790	2800.8	2765.2	2783.6	-0.03%	1.28%	"326,508"	"272,741,820,000"	--	0
"2010-07-26,一"	2792	2803.2	2769.2	2796.8	0.47%	1.22%	"295,351"	"247,139,340,000"	--	0
"2010-07-27,二"	2797.8	2799.8	2773.6	2778	-0.67%	0.94%	"298,118"	"248,995,320,000"	--	0
"2010-07-28,三"	2780.2	2888.6	2775.2	2887.4	3.94%	4.08%	"354,307"	"301,227,210,000"	--	0
"2010-07-29,四"	2888	2896	2862.8	2876.8	-0.37%	1.15%	"274,230"	"237,012,340,000"	--	0
"2010-07-30,五"	2873	2880.6	2855.2	2871.4	-0.19%	0.88%	"241,645"	"207,849,580,000"	--	0
"2010-08-02,一"	2888.2	2950.8	2880.2	2926.4	1.92%	2.46%	"288,420"	"252,509,070,000"	--	0
"2010-08-03,二"	2928	2935	2849	2856.8	-2.38%	2.94%	"322,000"	"280,584,010,000"	--	0
"2010-08-04,三"	2859.8	2892	2835	2873.8	0.60%	2.00%	"382,739"	"329,146,160,000"	--	0
"2010-08-05,四"	2872.8	2880.6	2821.8	2846.4	-0.95%	2.05%	"319,116"	"273,606,280,000"	--	0
"2010-08-06,五"	2850	2923.6	2832	2920	2.59%	3.22%	"322,329"	"278,041,750,000"	--	0
"2010-08-09,一"	2917	2932	2891.4	2913	-0.24%	1.39%	"288,638"	"252,012,090,000"	--	0
"2010-08-10,二"	2913.2	2920.6	2827.8	2837	-2.61%	3.19%	"324,580"	"279,905,140,000"	--	0
"2010-08-11,三"	2839	2873	2825	2839.4	0.08%	1.69%	"359,463"	"306,764,840,000"	--	0
"2010-08-12,四"	2822	2868.8	2810	2826.8	-0.44%	2.07%	"337,014"	"286,777,880,000"	--	0
"2010-08-13,五"	2826	2862.8	2810.2	2855	1.00%	1.86%	"299,186"	"254,563,650,000"	--	0
"2010-08-16,一"	2849	2943	2843.6	2927.6	2.54%	3.48%	"269,722"	"234,523,330,000"	--	0
"2010-08-17,二"	2933	2961.8	2928.8	2947	0.66%	1.13%	"176,759"	"155,955,050,000"	--	0
"2010-08-18,三"	2949.6	2968.2	2933	2945.8	-0.04%	1.19%	"54,738"	"48,454,136,000"	--	0
"2010-08-19,四"	2947.8	2997.8	2935	2964.8	0.64%	2.13%	"24,560"	"21,815,710,000"	--	0
"2010-08-20,五"	2959.8	2959.8	2905.2	2911.6	-1.79%	1.84%	"12,736"	"11,180,934,900"	--	0
"2010-08-23,一"	2920.6	2938	2896.4	2905.6	-0.21%	1.43%	"252,178"	"220,896,120,000"	--	0
"2010-08-24,二"	2898.6	2958.8	2875.4	2914	0.29%	2.87%	"340,393"	"298,064,020,000"	--	0
"2010-08-25,三"	2911	2922	2852.8	2856.4	-1.98%	2.37%	"328,356"	"284,476,820,000"	--	0
"2010-08-26,四"	2889.8	2894	2848	2865.8	0.33%	1.61%	"273,128"	"234,978,530,000"	--	0
"2010-08-27,五"	2862	2875	2848.2	2872.6	0.24%	0.94%	"271,393"	"233,008,590,000"	--	0
"2010-08-30,一"	2885	2948.8	2885	2930.2	2.01%	2.22%	"258,909"	"227,129,440,000"	--	0
"2010-08-31,二"	2918	2922	2903	2910.4	-0.68%	0.65%	"198,508"	"173,520,120,000"	--	0
"2010-09-01,三"	2925	2956.2	2871.6	2890.2	-0.69%	2.91%	"310,156"	"271,274,570,000"	--	0
"2010-09-02,四"	2920	2949.2	2912.2	2929.2	1.35%	1.28%	"292,539"	"257,145,040,000"	--	0
"2010-09-03,五"	2933	2939.6	2901.4	2933	0.13%	1.30%	"265,581"	"232,909,420,000"	--	0
"2010-09-06,一"	2948	2993.6	2948	2992.2	2.02%	1.55%	"250,197"	"223,049,690,000"	--	0
"2010-09-07,二"	2990	2998	2968.8	2996.6	0.15%	0.98%	"206,604"	"185,016,920,000"	--	0
"2010-09-08,三"	2987	2998.6	2972	2995.2	-0.05%	0.89%	"193,194"	"172,844,100,000"	--	0
"2010-09-09,四"	3004	3006.8	2935.6	2947.6	-1.59%	2.38%	"244,478"	"217,388,750,000"	--	0
"2010-09-10,五"	2955	2956	2914	2940.6	-0.24%	1.42%	"217,296"	"191,514,210,000"	--	0
"2010-09-13,一"	2952	2983.8	2935.6	2967.4	0.91%	1.64%	"206,588"	"183,535,760,000"	--	0
"2010-09-14,二"	2969.8	2995	2956	2966.8	-0.02%	1.31%	"216,894"	"193,580,170,000"	--	0
"2010-09-15,三"	2968.8	2972.6	2916.4	2920	-1.58%	1.89%	"171,429"	"151,516,850,000"	--	0
"2010-09-16,四"	2920	2926.8	2836.4	2867.6	-1.79%	3.10%	"62,516"	"54,055,058,000"	--	0
"2010-09-17,五"	2867.6	2875.6	2858	2866.2	-0.05%	0.61%	"16,907"	"14,543,604,000"	--	0
"2010-09-20,一"	2881	2892	2848	2873	0.24%	1.54%	"209,602"	"180,793,520,000"	--	0
"2010-09-21,二"	2881	2886.8	2860.2	2871.4	-0.06%	0.93%	"163,975"	"141,413,840,000"	--	0
"2010-09-27,一"	2882.2	2914.8	2879.8	2904	1.14%	1.22%	"157,948"	"137,274,160,000"	--	0
"2010-09-28,二"	2900	2905.4	2889.4	2891.4	-0.43%	0.55%	"120,672"	"104,897,522,000"	--	0
