时间	开盘	最高	最低	收盘	涨幅	振幅	总手	金额	换手%	成交次数
"2011-04-11,一"	3368	3382	3336.8	3344.6	-0.64%	1.34%	"137,974"	"139,244,060,000"	--	0
"2011-04-12,二"	3341.2	3351.8	3310.4	3326	-0.56%	1.24%	"149,352"	"149,415,290,000"	--	0
"2011-04-13,三"	3318.4	3377.8	3304.2	3374.8	1.47%	2.21%	"131,950"	"131,998,971,000"	--	0
"2011-04-14,四"	3370.4	3376	3344.4	3347.2	-0.82%	0.94%	"37,405"	"37,723,320,000"	--	0
"2011-04-15,五"	3347.2	3376	3321.4	3340.6	-0.20%	1.63%	"18,866"	"18,933,001,000"	--	0
"2011-04-18,一"	3368	3384	3342.4	3355.4	0.44%	1.25%	"171,516"	"173,115,280,000"	--	0
"2011-04-19,二"	3343.4	3344.6	3302.2	3311.4	-1.31%	1.26%	"169,120"	"168,453,490,000"	--	0
"2011-04-20,三"	3318.8	3327.6	3296.2	3316	0.14%	0.95%	"131,575"	"130,770,145,000"	--	0
"2011-04-21,四"	3328.6	3345.4	3313	3320	0.12%	0.98%	"143,692"	"143,429,260,000"	--	0
"2011-04-22,五"	3323	3335.8	3298	3307.8	-0.37%	1.14%	"132,043"	"131,352,035,000"	--	0
"2011-04-25,一"	3302	3304.4	3254	3261.2	-1.41%	1.52%	"147,000"	"144,426,380,000"	--	0
"2011-04-26,二"	3256	3267.4	3232.8	3252.8	-0.26%	1.06%	"134,902"	"131,572,312,000"	--	0
"2011-04-27,三"	3258.2	3263	3202	3230.2	-0.69%	1.88%	"132,562"	"128,858,479,000"	--	0
"2011-04-28,四"	3238	3251.4	3185.8	3195.2	-1.08%	2.03%	"201,579"	"194,682,460,000"	--	0
"2011-04-29,五"	3191.2	3215.4	3186.4	3193.2	-0.06%	0.91%	"145,652"	"139,856,160,000"	--	0
"2011-05-03,二"	3203.4	3217.8	3175	3210.4	0.54%	1.34%	"130,928"	"125,699,622,000"	--	0
"2011-05-04,三"	3205.8	3205.8	3121.6	3129	-2.54%	2.62%	"163,238"	"155,005,960,000"	--	0
"2011-05-05,四"	3120	3139.4	3115.2	3120.4	-0.27%	0.77%	"127,061"	"119,261,434,000"	--	0
"2011-05-06,五"	3110	3144	3091	3133	0.40%	1.70%	"168,603"	"157,760,090,000"	--	0
"2011-05-09,一"	3135.6	3153.2	3114.4	3137.2	0.13%	1.24%	"142,312"	"133,891,236,000"	--	0
"2011-05-10,二"	3132.2	3157.6	3124.2	3149.4	0.39%	1.06%	"154,453"	"145,580,270,000"	--	0
"2011-05-11,三"	3155	3165	3126	3139.8	-0.30%	1.24%	"162,088"	"153,026,590,000"	--	0
"2011-05-12,四"	3124.6	3142	3090.2	3090.2	-1.58%	1.65%	"145,812"	"136,609,750,000"	--	0
"2011-05-13,五"	3104.8	3136.6	3087.2	3127	1.19%	1.60%	"157,456"	"146,896,370,000"	--	0
"2011-05-16,一"	3120	3135	3093.2	3103.8	-0.74%	1.34%	"115,773"	"108,190,001,000"	--	0
"2011-05-17,二"	3100	3134.6	3077	3115.4	0.37%	1.86%	"89,458"	"83,403,794,000"	--	0
"2011-05-18,三"	3116.2	3142.2	3109.6	3134	0.60%	1.05%	"27,167"	"25,496,034,000"	--	0
"2011-05-19,四"	3135	3145.8	3116.2	3117	-0.54%	0.94%	"11,416"	"10,731,689,900"	--	0
"2011-05-20,五"	3119	3128.8	3113.2	3122.6	0.18%	0.50%	"7,940"	"7,437,241,800"	--	0
"2011-05-23,一"	3118.6	3123.4	3020.6	3022.4	-3.21%	3.29%	"165,275"	"152,215,910,000"	--	0
"2011-05-24,二"	3020.2	3033.6	3014.6	3023.8	0.05%	0.63%	"124,258"	"112,766,325,000"	--	0
"2011-05-25,三"	3020.8	3037.2	2991	3015.2	-0.28%	1.53%	"159,561"	"144,353,910,000"	--	0
"2011-05-26,四"	3018.6	3026.8	2984.2	2992.6	-0.75%	1.41%	"157,229"	"141,950,860,000"	--	0
"2011-05-27,五"	2995	3013.8	2979.2	2981	-0.39%	1.16%	"198,093"	"177,889,340,000"	--	0
"2011-05-30,一"	2976.6	2989.8	2960.2	2971.8	-0.31%	0.99%	"155,057"	"138,399,950,000"	--	0
"2011-05-31,二"	2973	3009.6	2962.2	2996	0.81%	1.60%	"155,048"	"138,750,680,000"	--	0
"2011-06-01,三"	2998.2	3004.8	2989.6	3002.4	0.21%	0.51%	"116,853"	"105,074,625,000"	--	0
"2011-06-02,四"	2981	2989.4	2928.8	2963	-1.31%	2.02%	"186,120"	"165,176,390,000"	--	0
"2011-06-03,五"	2964	2998.6	2959.4	2986.6	0.80%	1.32%	"147,279"	"131,734,728,000"	--	0
"2011-06-07,二"	2984.4	3001.6	2971.4	2995	0.28%	1.01%	"129,804"	"116,397,189,000"	--	0
"2011-06-08,三"	2990	3015.4	2956.2	3006.8	0.39%	1.98%	"166,932"	"149,498,710,000"	--	0
"2011-06-09,四"	3009.2	3009.6	2951	2958.2	-1.62%	1.95%	"171,985"	"153,725,330,000"	--	0
"2011-06-10,五"	2960	2968	2931.4	2947.6	-0.36%	1.24%	"170,100"	"150,680,520,000"	--	0
"2011-06-13,一"	2940	2957.8	2918	2955.2	0.26%	1.35%	"161,648"	"142,371,980,000"	--	0
"2011-06-14,二"	2952.2	2995.8	2948.6	2984	0.97%	1.60%	"152,014"	"135,810,120,000"	--	0
"2011-06-15,三"	2985.8	2992	2959.2	2960.8	-0.78%	1.10%	"103,534"	"92,488,566,000"	--	0
"2011-06-16,四"	2950.6	2950.6	2921	2921	-1.34%	1.00%	"37,652"	"33,142,778,000"	--	0
"2011-06-17,五"	2920	2932.2	2912.2	2915.6	-0.18%	0.68%	"15,014"	"13,166,852,100"	--	0
"2011-06-20,一"	2888	2898	2863.2	2883.6	-1.10%	1.19%	"149,261"	"129,095,815,000"	--	0
"2011-06-21,二"	2890	2907.2	2881	2901.8	0.63%	0.91%	"151,767"	"131,827,953,000"	--	0
"2011-06-22,三"	2908.2	2917.8	2887.8	2897.6	-0.14%	1.03%	"149,993"	"130,636,377,000"	--	0
"2011-06-23,四"	2891.2	2976.6	2884.2	2961.4	2.20%	3.19%	"212,256"	"186,116,500,000"	--	0
"2011-06-24,五"	2962	3062	2954.6	3039.8	2.65%	3.63%	"237,657"	"214,722,710,000"	--	0
"2011-06-27,一"	3033	3057	3022.2	3038.4	-0.05%	1.14%	"180,870"	"164,767,530,000"	--	0
"2011-06-28,二"	3041.8	3052.6	3019	3041	0.09%	1.11%	"175,782"	"159,998,250,000"	--	0
"2011-06-29,三"	3050	3051.8	3008.6	3017.6	-0.77%	1.42%	"182,134"	"165,493,140,000"	--	0
"2011-06-30,四"	3016.8	3081	3013.8	3035	0.58%	2.23%	"204,473"	"187,179,360,000"	--	0
"2011-07-01,五"	3040.2	3077	3035	3049.6	0.48%	1.38%	"193,487"	"177,291,690,000"	--	0
"2011-07-04,一"	3058.6	3130	3058.6	3122	2.37%	2.34%	"186,619"	"174,070,430,000"	--	0
"2011-07-05,二"	3122.2	3128	3109.8	3119	-0.10%	0.58%	"126,429"	"118,288,271,000"	--	0
"2011-07-06,三"	3120	3125	3091.2	3114	-0.16%	1.08%	"152,941"	"142,494,230,000"	--	0
"2011-07-07,四"	3119.6	3150	3098	3113.6	-0.01%	1.67%	"214,542"	"200,853,890,000"	--	0
"2011-07-08,五"	3122	3134.8	3099.2	3120.6	0.22%	1.14%	"197,890"	"184,885,440,000"	--	0
"2011-07-11,一"	3113.8	3121.8	3091.2	3104.2	-0.53%	0.98%	"159,537"	"148,761,300,000"	--	0
"2011-07-12,二"	3085	3090.8	3053.4	3054.6	-1.60%	1.20%	"151,414"	"139,584,790,000"	--	0
"2011-07-13,三"	3063	3114.8	3063	3108	1.75%	1.70%	"139,557"	"129,492,610,000"	--	0
"2011-07-14,四"	3107.6	3123	3095	3114	0.19%	0.90%	"48,626"	"45,390,483,000"	--	0
"2011-07-15,五"	3111.8	3133.8	3097.2	3122.4	0.27%	1.18%	"14,919"	"13,943,746,000"	--	0
"2011-07-18,一"	3149	3157	3121.8	3122.8	0.01%	1.13%	"135,361"	"127,362,798,000"	--	0
"2011-07-19,二"	3119	3119	3098.2	3116.8	-0.19%	0.67%	"129,604"	"120,870,973,000"	--	0
"2011-07-20,三"	3129.4	3130.8	3079.6	3095.2	-0.69%	1.64%	"149,582"	"139,195,830,000"	--	0
"2011-07-21,四"	3091	3113.6	3070	3074.8	-0.66%	1.41%	"165,943"	"153,730,970,000"	--	0
"2011-07-22,五"	3084	3097	3072	3075	0.01%	0.81%	"130,681"	"120,844,427,000"	--	0
"2011-07-25,一"	3062	3063	2966	2977.2	-3.18%	3.15%	"147,344"	"133,214,202,000"	--	0
"2011-07-26,二"	2978.6	2985.6	2973	2983.2	0.20%	0.42%	"95,538"	"85,376,542,000"	--	0
"2011-07-27,三"	2975	3004.6	2955.2	2994.2	0.37%	1.66%	"167,471"	"150,049,420,000"	--	0
"2011-07-28,四"	2978.2	2992.8	2965	2990.2	-0.13%	0.93%	"138,644"	"123,845,721,000"	--	0
"2011-07-29,五"	2986.8	3004.8	2956.8	2971.6	-0.62%	1.61%	"176,889"	"158,111,780,000"	--	0
"2011-08-01,一"	2985	2997	2966	2987.8	0.55%	1.04%	"126,197"	"113,049,483,000"	--	0
"2011-08-02,二"	2970	2971	2924.2	2964	-0.80%	1.57%	"163,985"	"144,800,790,000"	--	0
"2011-08-03,三"	2935	2973.2	2932.4	2960	-0.13%	1.38%	"151,494"	"134,395,940,000"	--	0
"2011-08-04,四"	2966	2984.8	2955.8	2962.6	0.09%	0.98%	"118,500"	"105,568,182,000"	--	0
"2011-08-05,五"	2902.2	2919.4	2870.4	2896.2	-2.24%	1.65%	"150,080"	"130,694,384,000"	--	0
"2011-08-08,一"	2890	2896.6	2751.8	2796.2	-3.45%	5.00%	"225,170"	"190,534,510,000"	--	0
"2011-08-09,二"	2719	2822	2702.6	2820.2	0.86%	4.27%	"255,517"	"211,989,190,000"	--	0
"2011-08-10,三"	2838.6	2849.8	2805	2807.8	-0.44%	1.59%	"171,607"	"145,720,350,000"	--	0
"2011-08-11,四"	2790	2881	2785.2	2879.6	2.56%	3.41%	"241,459"	"205,836,450,000"	--	0
"2011-08-12,五"	2885	2888	2857	2860.4	-0.67%	1.08%	"156,995"	"135,260,790,000"	--	0
"2011-08-15,一"	2879	2906.2	2860.8	2896	1.24%	1.59%	"131,681"	"113,872,849,000"	--	0
"2011-08-16,二"	2901.2	2909	2871.4	2875.2	-0.72%	1.30%	"61,530"	"53,392,535,000"	--	0
"2011-08-17,三"	2879.6	2907.8	2879.4	2883	0.27%	0.99%	"28,657"	"24,854,938,000"	--	0
"2011-08-18,四"	2881.8	2888.6	2828	2839.2	-1.52%	2.10%	"13,524"	"11,616,044,500"	--	0
"2011-08-19,五"	2815	2817	2787.8	2793	-1.63%	1.03%	"8,755"	"7,361,684,400"	--	0
"2011-08-22,一"	2810.8	2835	2765.2	2786.2	-0.24%	2.50%	"204,489"	"171,630,270,000"	--	0
"2011-08-23,二"	2792	2835	2781.6	2832.2	1.65%	1.92%	"211,257"	"177,623,230,000"	--	0
"2011-08-24,三"	2838	2844.8	2794.6	2800.4	-1.12%	1.77%	"187,948"	"159,184,960,000"	--	0
"2011-08-25,四"	2812.8	2916	2811.2	2912.8	4.01%	3.74%	"267,514"	"229,936,810,000"	--	0
"2011-08-26,五"	2905.6	2914.4	2873	2894.6	-0.62%	1.42%	"209,822"	"182,112,740,000"	--	0
"2011-08-29,一"	2879.6	2880	2841.6	2855.4	-1.35%	1.33%	"207,234"	"177,759,440,000"	--	0
"2011-08-30,二"	2870	2910.6	2829	2831.8	-0.83%	2.86%	"240,543"	"207,296,690,000"	--	0
"2011-08-31,三"	2835.6	2857.6	2825.8	2846.8	0.53%	1.12%	"216,290"	"184,356,630,000"	--	0
"2011-09-01,四"	2855	2876.8	2818	2828	-0.66%	2.07%	"235,944"	"201,392,060,000"	--	0
"2011-09-02,五"	2821	2842	2791	2808.4	-0.69%	1.80%	"222,157"	"187,266,300,000"	--	0
"2011-09-05,一"	2792.8	2795	2743.4	2748.4	-2.14%	1.84%	"184,469"	"152,674,670,000"	--	0
"2011-09-06,二"	2740	2747.2	2712.2	2737.2	-0.41%	1.27%	"199,381"	"163,313,540,000"	--	0
"2011-09-07,三"	2740.2	2785.6	2728	2776	1.42%	2.10%	"224,467"	"185,622,120,000"	--	0
"2011-09-08,四"	2780	2788.8	2756	2762.4	-0.49%	1.18%	"173,979"	"144,773,920,000"	--	0
"2011-09-09,五"	2776.2	2806	2737.4	2750	-0.45%	2.48%	"243,189"	"201,803,710,000"	--	0
"2011-09-13,二"	2713.8	2728	2699	2722.8	-0.99%	1.05%	"165,873"	"135,063,980,000"	--	0
"2011-09-14,三"	2728	2742.6	2673.2	2730.6	0.29%	2.55%	"205,074"	"166,957,520,000"	--	0
"2011-09-15,四"	2738.2	2755.8	2723	2725.8	-0.18%	1.20%	"67,646"	"55,589,614,000"	--	0
"2011-09-16,五"	2746	2755.6	2733.8	2737	0.41%	0.80%	"16,004"	"13,178,340,900"	--	0
"2011-09-19,一"	2710	2712.8	2668.2	2668.6	-2.50%	1.63%	"149,785"	"120,976,509,000"	--	0
"2011-09-20,二"	2673.6	2706.6	2667.6	2704.6	1.35%	1.46%	"197,071"	"158,814,500,000"	--	0
"2011-09-21,三"	2698	2785.2	2676	2765.4	2.25%	4.04%	"278,252"	"228,487,820,000"	--	0
"2011-09-22,四"	2740	2759.8	2680.6	2684.4	-2.93%	2.86%	"225,960"	"184,662,920,000"	--	0
"2011-09-23,五"	2641.6	2694.8	2624	2668.2	-0.60%	2.64%	"306,868"	"244,633,510,000"	--	0
"2011-09-26,一"	2649	2685.6	2601.6	2605.4	-2.35%	3.15%	"271,018"	"214,859,100,000"	--	0
"2011-09-27,二"	2634.8	2662	2618	2648.2	1.64%	1.69%	"251,326"	"198,912,150,000"	--	0
"2011-09-28,三"	2648	2661.4	2602.2	2618.6	-1.12%	2.24%	"227,194"	"179,550,760,000"	--	0
"2011-09-29,四"	2599.8	2626	2582.6	2606.8	-0.45%	1.66%	"257,025"	"200,921,270,000"	--	0
"2011-09-30,五"	2608.8	2614.6	2570.4	2571.8	-1.34%	1.70%	"194,766"	"151,769,040,000"	--	0
"2011-10-10,一"	2600	2604	2562	2568	-0.15%	1.63%	"158,979"	"122,972,623,000"	--	0
"2011-10-11,二"	2644	2650	2537	2553.6	-0.56%	4.40%	"237,122"	"183,959,510,000"	--	0
"2011-10-12,三"	2542.4	2650.6	2533.4	2635.2	3.20%	4.59%	"333,517"	"260,688,160,000"	--	0
"2011-10-13,四"	2642	2669.8	2630.2	2654.6	0.74%	1.50%	"249,558"	"198,522,240,000"	--	0
"2011-10-14,五"	2659.4	2669.2	2633.2	2656.6	0.08%	1.36%	"215,399"	"171,250,980,000"	--	0
"2011-10-17,一"	2666.8	2690.2	2650.4	2663.4	0.26%	1.50%	"197,569"	"158,054,620,000"	--	0
"2011-10-18,二"	2639.8	2647.8	2586.2	2594.2	-2.60%	2.31%	"148,901"	"117,045,537,000"	--	0
"2011-10-19,三"	2609.8	2623	2580.4	2584.4	-0.38%	1.64%	"66,055"	"51,489,368,000"	--	0
"2011-10-20,四"	2561	2568	2505.8	2523.2	-2.37%	2.41%	"26,143"	"19,866,424,000"	--	0
"2011-10-21,五"	2531.2	2542.4	2514.2	2515.4	-0.31%	1.12%	"11,945"	"9,051,963,500"	--	0
"2011-10-24,一"	2535	2598.4	2511.2	2576.4	2.43%	3.47%	"295,585"	"226,270,310,000"	--	0
"2011-10-25,二"	2580.4	2646.6	2564.4	2622	1.77%	3.19%	"296,248"	"231,558,300,000"	--	0
"2011-10-26,三"	2628.2	2683.6	2622.6	2662.8	1.56%	2.33%	"282,652"	"225,345,680,000"	--	0
"2011-10-27,四"	2668.8	2679.6	2654	2675.8	0.49%	0.96%	"210,728"	"168,562,810,000"	--	0
"2011-10-28,五"	2698	2745.2	2688.4	2703	1.02%	2.12%	"256,011"	"208,154,600,000"	--	0
"2011-10-31,一"	2703	2710.8	2679.4	2693.8	-0.34%	1.16%	"177,245"	"143,294,150,000"	--	0
"2011-11-01,二"	2685	2734.6	2677	2686.6	-0.27%	2.14%	"262,698"	"213,034,930,000"	--	0
"2011-11-02,三"	2670	2779	2656	2777	3.36%	4.58%	"291,665"	"236,099,460,000"	--	0
"2011-11-03,四"	2771	2786	2741	2747.4	-1.07%	1.62%	"261,952"	"217,346,110,000"	--	0
"2011-11-04,五"	2780.2	2795	2753.6	2773.2	0.94%	1.51%	"263,555"	"219,183,460,000"	--	0
"2011-11-07,一"	2760.2	2773.6	2738.4	2755.6	-0.63%	1.27%	"193,648"	"159,950,510,000"	--	0
"2011-11-08,二"	2752	2769	2732.2	2741	-0.53%	1.34%	"226,254"	"186,451,520,000"	--	0
"2011-11-09,三"	2755.2	2768	2714	2748	0.26%	1.97%	"248,857"	"204,687,800,000"	--	0
"2011-11-10,四"	2715	2733.6	2700	2701	-1.71%	1.22%	"226,598"	"184,752,370,000"	--	0
"2011-11-11,五"	2707.6	2725	2691.8	2694.6	-0.24%	1.23%	"163,246"	"132,725,938,000"	--	0
"2011-11-14,一"	2720	2766.2	2718	2752.2	2.14%	1.79%	"195,172"	"160,781,950,000"	--	0
"2011-11-15,二"	2745.2	2757	2734	2740.6	-0.42%	0.84%	"124,833"	"102,790,605,000"	--	0
"2011-11-16,三"	2749.6	2752	2660.6	2677	-2.32%	3.34%	"70,700"	"57,324,961,000"	--	0
"2011-11-17,四"	2670	2689.8	2664	2670.6	-0.24%	0.96%	"22,960"	"18,426,966,000"	--	0
"2011-11-18,五"	2655	2658.4	2605.2	2608.8	-2.31%	1.99%	"12,296"	"9,700,777,500"	--	0
"2011-11-21,一"	2615.8	2621.2	2597.8	2613.6	0.18%	0.90%	"140,709"	"110,193,667,000"	--	0
"2011-11-22,二"	2602.2	2624	2585.2	2611.2	-0.09%	1.48%	"227,769"	"178,214,600,000"	--	0
"2011-11-23,三"	2615.8	2621	2578.4	2586.4	-0.95%	1.63%	"215,246"	"167,642,230,000"	--	0
"2011-11-24,四"	2571.2	2613.8	2567.4	2598.2	0.46%	1.79%	"238,398"	"185,096,740,000"	--	0
"2011-11-25,五"	2592	2603	2565.8	2573	-0.97%	1.43%	"172,445"	"133,684,991,000"	--	0
"2011-11-28,一"	2588.2	2599.8	2568.2	2585	0.47%	1.23%	"189,708"	"146,895,920,000"	--	0
"2011-11-29,二"	2594.6	2613	2581.6	2602	0.66%	1.21%	"203,532"	"158,574,190,000"	--	0
"2011-11-30,三"	2602.8	2604	2515.2	2528	-2.84%	3.41%	"218,819"	"167,572,200,000"	--	0
"2011-12-01,四"	2588	2642.2	2578	2583	2.18%	2.54%	"305,852"	"239,103,970,000"	--	0
"2011-12-02,五"	2578	2583	2549	2564.8	-0.70%	1.32%	"254,302"	"195,766,860,000"	--	0
"2011-12-05,一"	2560.2	2571.2	2529.6	2536	-1.12%	1.62%	"265,673"	"202,852,410,000"	--	0
"2011-12-06,二"	2527.4	2536.8	2510.8	2519.4	-0.65%	1.03%	"203,960"	"154,435,150,000"	--	0
"2011-12-07,三"	2523.4	2539.2	2513.2	2537.2	0.71%	1.03%	"222,142"	"168,523,480,000"	--	0
"2011-12-08,四"	2531.2	2561.8	2498.4	2531	-0.24%	2.50%	"287,500"	"218,111,580,000"	--	0
"2011-12-09,五"	2518	2532	2507	2510.8	-0.80%	0.99%	"208,492"	"157,453,680,000"	--	0
"2011-12-12,一"	2512	2513.6	2485.8	2490.2	-0.82%	1.11%	"172,451"	"129,231,848,000"	--	0
"2011-12-13,二"	2480.6	2486.2	2434.8	2438.8	-2.06%	2.06%	"198,419"	"146,422,830,000"	--	0
"2011-12-14,三"	2433.2	2442	2410	2419	-0.81%	1.31%	"156,637"	"114,140,559,000"	--	0
"2011-12-15,四"	2407.8	2408	2341.4	2343.6	-3.12%	2.75%	"111,622"	"79,541,476,000"	--	0
"2011-12-16,五"	2348.2	2356	2334.2	2352	0.36%	0.93%	"26,557"	"18,703,502,000"	--	0
"2011-12-19,一"	2378	2405	2322.2	2403	2.17%	3.52%	"344,258"	"243,848,390,000"	--	0
"2011-12-20,二"	2392	2423	2375.6	2380.2	-0.95%	1.97%	"297,682"	"213,810,630,000"	--	0
"2011-12-21,三"	2399.4	2416	2346.6	2358.6	-0.91%	2.92%	"296,200"	"211,969,720,000"	--	0
"2011-12-22,四"	2344.8	2378.4	2306.4	2357.8	-0.03%	3.05%	"411,787"	"289,086,160,000"	--	0
"2011-12-23,五"	2358	2401.8	2343.4	2360.2	0.10%	2.48%	"360,047"	"255,750,740,000"	--	0
"2011-12-26,一"	2351.2	2383	2337.2	2344	-0.69%	1.94%	"306,802"	"216,935,510,000"	--	0
"2011-12-27,二"	2340.4	2364.2	2319.2	2321.6	-0.96%	1.92%	"305,020"	"213,960,110,000"	--	0
"2011-12-28,三"	2319.2	2331	2293.2	2321.2	-0.02%	1.63%	"312,405"	"216,948,200,000"	--	0
"2011-12-29,四"	2307	2339.2	2306	2322	0.03%	1.43%	"268,843"	"187,320,630,000"	--	0
"2011-12-30,五"	2331	2362	2328	2357	1.51%	1.46%	"266,983"	"187,990,820,000"	--	0
"2012-01-04,三"	2381	2383.8	2305	2305.6	-2.18%	3.34%	"226,897"	"159,342,600,000"	--	0
"2012-01-05,四"	2303.4	2327.4	2286.2	2291	-0.63%	1.79%	"322,309"	"223,067,960,000"	--	0
"2012-01-06,五"	2289	2300.8	2273	2297.6	0.29%	1.21%	"276,946"	"190,022,430,000"	--	0
"2012-01-09,一"	2285.4	2378.2	2276.8	2376.8	3.45%	4.41%	"392,480"	"274,740,170,000"	--	0
"2012-01-10,二"	2384.8	2464.8	2372	2462.6	3.61%	3.90%	"376,838"	"273,512,400,000"	--	0
"2012-01-11,三"	2463	2468.8	2436.4	2445.6	-0.69%	1.32%	"297,272"	"218,638,760,000"	--	0
"2012-01-12,四"	2442.4	2475	2433.4	2445.6	0.00%	1.70%	"323,934"	"238,183,220,000"	--	0
"2012-01-13,五"	2447.6	2457	2387.6	2410.2	-1.45%	2.84%	"333,591"	"242,015,610,000"	--	0
"2012-01-16,一"	2400	2404.8	2347.6	2352	-2.41%	2.37%	"286,805"	"205,058,840,000"	--	0
"2012-01-17,二"	2361	2494	2339.8	2487.4	5.76%	6.56%	"355,421"	"256,702,400,000"	--	0
"2012-01-18,三"	2485	2489.8	2411.4	2427.4	-2.41%	3.15%	"102,874"	"75,952,920,000"	--	0
"2012-01-19,四"	2433.2	2493.2	2420.4	2470.2	1.76%	3.00%	"47,997"	"35,408,380,000"	--	0
"2012-01-20,五"	2470.2	2499.4	2465	2498.2	1.13%	1.39%	"13,220"	"9,843,245,600"	--	0
"2012-01-30,一"	2513.4	2517.2	2465	2469.2	-1.16%	2.09%	"306,138"	"228,459,690,000"	--	0
"2012-01-31,二"	2472.4	2485.6	2456.8	2476	0.28%	1.17%	"306,569"	"227,156,730,000"	--	0
"2012-02-01,三"	2470.6	2494.8	2428.4	2439.8	-1.46%	2.68%	"325,745"	"240,539,190,000"	--	0
"2012-02-02,四"	2445	2497.4	2434.4	2487.2	1.94%	2.58%	"397,302"	"293,210,430,000"	--	0
"2012-02-03,五"	2488	2527.6	2474	2509	0.88%	2.16%	"346,500"	"259,885,020,000"	--	0
"2012-02-06,一"	2522.4	2533	2492.6	2504.4	-0.18%	1.61%	"311,996"	"235,241,610,000"	--	0
"2012-02-07,二"	2502	2503.4	2442.6	2464.2	-1.61%	2.43%	"327,100"	"241,914,300,000"	--	0
"2012-02-08,三"	2466.8	2554	2457	2536.4	2.93%	3.94%	"388,623"	"291,119,870,000"	--	0
"2012-02-09,四"	2530	2553.2	2518	2532.6	-0.15%	1.39%	"376,190"	"286,316,860,000"	--	0
"2012-02-10,五"	2531	2572.4	2519.8	2532.2	-0.02%	2.08%	"407,415"	"310,829,110,000"	--	0
"2012-02-13,一"	2517.8	2565	2501	2531	-0.05%	2.53%	"361,959"	"275,257,790,000"	--	0
"2012-02-14,二"	2529	2537.6	2505.6	2519.6	-0.45%	1.26%	"292,593"	"221,352,650,000"	--	0
"2012-02-15,三"	2520.4	2562.8	2515.4	2546.6	1.07%	1.88%	"106,560"	"81,172,994,000"	--	0
"2012-02-16,四"	2540.2	2552.8	2513	2533.6	-0.51%	1.56%	"33,167"	"25,229,515,000"	--	0
"2012-02-17,五"	2545.4	2558	2522.6	2537.4	0.15%	1.40%	"13,290"	"10,128,447,400"	--	0
"2012-02-20,一"	2579	2586	2549.4	2552.4	0.59%	1.44%	"299,808"	"230,796,670,000"	--	0
"2012-02-21,二"	2557	2569.6	2525.6	2568.8	0.64%	1.72%	"366,212"	"280,252,180,000"	--	0
"2012-02-22,三"	2571	2606	2562.8	2595.8	1.05%	1.68%	"367,881"	"285,192,660,000"	--	0
"2012-02-23,四"	2595	2615	2590.2	2606	0.39%	0.96%	"330,608"	"258,247,190,000"	--	0
"2012-02-24,五"	2616.4	2658.6	2599	2658.4	2.01%	2.29%	"370,520"	"291,655,920,000"	--	0
"2012-02-27,一"	2664.6	2702	2660.2	2669	0.40%	1.57%	"343,970"	"276,509,870,000"	--	0
"2012-02-28,二"	2671.2	2685	2655.8	2668	-0.04%	1.09%	"330,073"	"264,490,060,000"	--	0
"2012-02-29,三"	2659.4	2673	2646	2650.8	-0.64%	1.01%	"330,380"	"263,537,820,000"	--	0
"2012-03-01,四"	2639	2662	2637	2639	-0.45%	0.94%	"278,974"	"221,783,750,000"	--	0
"2012-03-02,五"	2645.4	2688.6	2645.4	2684.6	1.73%	1.64%	"352,776"	"282,368,230,000"	--	0
"2012-03-05,一"	2686.6	2696.6	2665.2	2668.8	-0.59%	1.17%	"260,414"	"209,529,090,000"	--	0
"2012-03-06,二"	2665.2	2668.8	2624	2633	-1.34%	1.68%	"313,051"	"247,965,820,000"	--	0
"2012-03-07,三"	2614.8	2637	2609.4	2613	-0.76%	1.05%	"291,731"	"229,475,720,000"	--	0
"2012-03-08,四"	2620.8	2653	2618.8	2637.8	0.95%	1.31%	"341,684"	"270,306,280,000"	--	0
"2012-03-09,五"	2648	2667.8	2639	2665	1.03%	1.09%	"329,139"	"262,164,320,000"	--	0
"2012-03-12,一"	2665.2	2667.4	2640.8	2647.6	-0.65%	1.00%	"260,531"	"207,383,960,000"	--	0
"2012-03-13,二"	2655	2681.2	2651.2	2676.8	1.10%	1.13%	"277,049"	"221,757,070,000"	--	0
"2012-03-14,三"	2691	2702.8	2598	2613.8	-2.35%	3.92%	"190,387"	"152,373,650,000"	--	0
"2012-03-15,四"	2613.6	2622	2586.4	2586.8	-1.03%	1.36%	"50,397"	"39,406,659,000"	--	0
"2012-03-16,五"	2585	2617.6	2579.2	2598.2	0.44%	1.48%	"19,876"	"15,505,242,000"	--	0
"2012-03-19,一"	2625	2634.6	2608	2629.4	1.20%	1.02%	"282,149"	"222,028,630,000"	--	0
"2012-03-20,二"	2633.6	2633.8	2595	2596.2	-1.26%	1.48%	"321,056"	"251,468,240,000"	--	0
"2012-03-21,三"	2608.2	2620	2580.2	2601.6	0.21%	1.53%	"360,190"	"280,973,880,000"	--	0
"2012-03-22,四"	2599	2609.6	2580.6	2596.4	-0.20%	1.11%	"309,414"	"240,885,850,000"	--	0
"2012-03-23,五"	2590	2591.2	2560.8	2571	-0.98%	1.17%	"290,760"	"224,858,030,000"	--	0
"2012-03-26,一"	2568.2	2575	2558.2	2568.8	-0.09%	0.65%	"193,913"	"149,346,580,000"	--	0
"2012-03-27,二"	2579.6	2580.6	2560	2564.8	-0.16%	0.80%	"209,970"	"161,945,420,000"	--	0
